username,role_shortname,context_type,context_identifier,notes
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-HIN-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-HIN-26.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-ENG-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-ENG-26.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-MATH-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-MATH-26.
dps.tch.eng.sci,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-SCI-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-SCI-26.
dps.tch.eng.ss,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-SS-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-SS-26.
dps.tch.eng.cs,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-CS-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-CS-26.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-ART-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-ART-26.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD07-GEN-PE-2026,Subject teacher for DPS-GSEB-ENG-STD07-GEN-PE-26.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-GUJ-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-GUJ-26.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-HIN-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-HIN-26.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-ENG-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-ENG-26.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-MATH-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-MATH-26.
dps.tch.eng.sci,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-SCI-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-SCI-26.
dps.tch.eng.ss,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-SS-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-SS-26.
dps.tch.eng.cs,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-CS-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-CS-26.
dps.tch.eng.art,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-ART-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-ART-26.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD08-GEN-PE-2026,Subject teacher for DPS-GSEB-ENG-STD08-GEN-PE-26.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-GUJ-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-GUJ-26.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-HIN-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-HIN-26.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-ENG-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-ENG-26.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-MATH-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-MATH-26.
dps.tch.eng.sci,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-SCI-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-SCI-26.
dps.tch.eng.ss,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-SS-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-SS-26.
dps.tch.eng.cs,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-CS-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-CS-26.
dps.tch.eng.pe,editingteacher,course,DPS-GSEB-ENG-STD09-GEN-PE-2026,Subject teacher for DPS-GSEB-ENG-STD09-GEN-PE-26.
dps.tch.eng.guj,editingteacher,course,DPS-GSEB-ENG-STD10-GEN-GUJ-2026,Subject teacher for DPS-GSEB-ENG-STD10-GEN-GUJ-26.
dps.tch.eng.hin,editingteacher,course,DPS-GSEB-ENG-STD10-GEN-HIN-2026,Subject teacher for DPS-GSEB-ENG-STD10-GEN-HIN-26.
dps.tch.eng.eng,editingteacher,course,DPS-GSEB-ENG-STD10-GEN-ENG-2026,Subject teacher for DPS-GSEB-ENG-STD10-GEN-ENG-26.
dps.tch.eng.math,editingteacher,course,DPS-GSEB-ENG-STD10-GEN-MATH-2026,Subject teacher for DPS-GSEB-ENG-STD10-GEN-MATH-26.
dps.tch.eng.sci,editingteacher,course,DPS-GSEB-ENG-STD10-GEN-SCI-2026,Subject teacher for DPS-GSEB-ENG-STD10-GEN-SCI-26.
dps.tch.eng.ss,editingteacher,course,DPS-GSEB-ENG-STD10-GEN-SS-2026,Subject teacher for DPS-GSEB-ENG-STD10-GEN-SS-26.
dps.tch.eng.cs,editingteacher,course,DPS-GSEB-ENG-STD10-GEN-CS-2026,Subject teacher for DPS-GSEB-ENG-STD10-GEN-CS-26.
